,beekin_id,latitude,longitude,baths,beds,sqft,posted_at,property_type,price,city,blockgroup,days_since_2014,trans_log_price
901,15eee2c104,42.523648,-114.474076,3.0,3.0,1449.0,2022-02-08,2.0,1575.0,Falls,160830012002,2960,0.5829740248572357
902,15eee2c104,42.523648,-114.474076,3.0,3.0,1449.0,2022-02-09,2.0,1575.0,Falls,160830012002,2961,0.5829740248572357
903,15eee2c104,42.523648,-114.474076,3.0,3.0,1449.0,2022-02-11,2.0,1575.0,Falls,160830012002,2963,0.5829740248572357
904,15eee2c104,42.523648,-114.474076,3.0,3.0,1449.0,2022-02-12,2.0,1575.0,Falls,160830012002,2964,0.5829740248572357
905,15eee2c104,42.523648,-114.474076,3.0,3.0,1449.0,2022-02-14,2.0,1575.0,Falls,160830012002,2966,0.5829740248572357
906,15eee2c104,42.523648,-114.474076,3.0,3.0,1449.0,2022-02-15,2.0,1575.0,Falls,160830012002,2967,0.5829740248572357
907,27ad0e8968,43.526856,-111.962636,3.0,3.0,1463.0,2022-02-07,0.0,1599.0,Falls,160199704021,2959,0.6472496572032744
908,27ad0e8968,43.526856,-111.962636,3.0,3.0,1463.0,2022-02-09,0.0,1599.0,Falls,160199704021,2961,0.6472496572032744
909,27ad0e8968,43.526856,-111.962636,3.0,3.0,1463.0,2022-02-11,0.0,1599.0,Falls,160199704021,2963,0.6472496572032744
910,27ad0e8968,43.526856,-111.962636,3.0,3.0,1463.0,2022-02-12,0.0,1599.0,Falls,160199704021,2964,0.6472496572032744
911,27ad0e8968,43.526856,-111.962636,3.0,3.0,1463.0,2022-02-15,0.0,1599.0,Falls,160199704021,2967,0.6472496572032744
912,27ad0e8968,43.526856,-111.962636,3.0,3.0,1463.0,2022-02-16,0.0,1599.0,Falls,160199704021,2968,0.6472496572032744
913,27ad0e8968,43.526856,-111.962636,3.0,3.0,1463.0,2022-02-17,0.0,1599.0,Falls,160199704021,2969,0.6472496572032744
1001,27ad0e8968,43.526856,-111.962636,3.0,3.0,1463.0,2022-01-21,0.0,1599.0,Falls,160199704021,2942,0.6472496572032744
1002,27ad0e8968,43.526856,-111.962636,3.0,3.0,1463.0,2022-01-23,0.0,1599.0,Falls,160199704021,2944,0.6472496572032744
1003,27ad0e8968,43.526856,-111.962636,3.0,3.0,1463.0,2022-01-25,0.0,1599.0,Falls,160199704021,2946,0.6472496572032744
1004,27ad0e8968,43.526856,-111.962636,3.0,3.0,1463.0,2022-01-26,0.0,1599.0,Falls,160199704021,2947,0.6472496572032744
1005,27ad0e8968,43.526856,-111.962636,3.0,3.0,1463.0,2022-01-29,0.0,1599.0,Falls,160199704021,2950,0.6472496572032744
1006,27ad0e8968,43.526856,-111.962636,3.0,3.0,1463.0,2022-02-01,0.0,1599.0,Falls,160199704021,2953,0.6472496572032744
1007,4fdbc70405,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-22,2.0,1575.0,Falls,160830012002,2943,0.5829740248572357
1008,4fdbc70405,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-25,2.0,1575.0,Falls,160830012002,2946,0.5829740248572357
1009,4fdbc70405,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-26,2.0,1575.0,Falls,160830012002,2947,0.5829740248572357
1010,4fdbc70405,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-29,2.0,1575.0,Falls,160830012002,2950,0.5829740248572357
1011,4fdbc70405,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-31,2.0,1575.0,Falls,160830012002,2952,0.5829740248572357
1012,884a211710,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-22,2.0,1575.0,Falls,160830012002,2943,0.5829740248572357
1013,884a211710,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-25,2.0,1575.0,Falls,160830012002,2946,0.5829740248572357
1014,884a211710,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-26,2.0,1575.0,Falls,160830012002,2947,0.5829740248572357
1015,884a211710,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-27,2.0,1575.0,Falls,160830012002,2948,0.5829740248572357
1016,884a211710,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-29,2.0,1575.0,Falls,160830012002,2950,0.5829740248572357
1017,884a211710,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-31,2.0,1575.0,Falls,160830012002,2952,0.5829740248572357
1018,884a211710,42.523648,-114.474076,3.0,3.0,1449.0,2022-02-02,2.0,1575.0,Falls,160830012002,2954,0.5829740248572357
1019,15eee2c104,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-23,2.0,1575.0,Falls,160830012002,2944,0.5829740248572357
1020,15eee2c104,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-25,2.0,1575.0,Falls,160830012002,2946,0.5829740248572357
1021,15eee2c104,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-26,2.0,1575.0,Falls,160830012002,2947,0.5829740248572357
1022,15eee2c104,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-28,2.0,1575.0,Falls,160830012002,2949,0.5829740248572357
1023,15eee2c104,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-29,2.0,1575.0,Falls,160830012002,2950,0.5829740248572357
1024,15eee2c104,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-30,2.0,1575.0,Falls,160830012002,2951,0.5829740248572357
1025,15eee2c104,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-31,2.0,1575.0,Falls,160830012002,2952,0.5829740248572357
